Abe Masakatsu
Adachi Kagemori
Adachi Yasumori
Aiou Mototsuna
Akahori Chohichi
Akai Terukage
Akao Kiyotsuna
Akechi Mitsuhide
Akiyama Nobutomo
Amago Haruhisa
Amago Yoshihisa
Andō Morinari
Ankokuji Ekei
Aochi Shigetsuna
Aokage Takaakira
Aoki Kazushige
Arai Hakuseki
Araki Motokiyo
Araki Murashige
Araki Muratsugu
Arima Kihei
Asakura Yoshikage
Ayame Kagekatsu
Azai Hisamasa
Azai Nagamasa
Azai Sukemasa
Baba Nobufusa
Bessho Nagaharu
Chosokabe Kunichika
Chosokabe Morichika
Chosokabe Motochika
Chosokabe Nobuchika
Date Masamune
Doi Toshikatsu
Endo Naotsune
Enjoji Nobutane
Enomoto Takeaki
Era Fusahide
Eto Shinpei
Fukushima Masanori
Fuma Kotaro
Fuwa Mitsuharu
Gamo Katahide
Gamo Ujisato
Harada Naomasa
Harada Sanosuke
Hasegawa Eishin
Hasekura Tsunenaga
Hatano Hideharu
Hattori Hanzo
Hayashizaki Jinsuke Shigenobu
Hirate Masahide
Hitotsubashi Keiki
Hōjō Masako
Hōjō Tokimune
Hojo Ujimasa
Hōjō Ujiyasu
Honda Komatsu
Honda Tadakatsu
Honganji Kennyo
Horio Yoshiharu
Hosokawa Fujitaka
Hosokawa Gracia
Hosokawa Tadaoki
Hotta Masatoshi
Ii Naoaki
Ii Naomasa
Ii Naomori
Ii Naonaka
Ii Naosuke
Ii Naotaka
Ii Naoyuki
Ii Naozumi
Iizasa Ienao
Ijuin Tadaaki
Ikeda Tsuneoki
Imagawa Ujizane
Imagawa Yoshimoto
Imai Kanehira
Inaba Yoshimichi
Inugami Nagayasu
Ishida Mitsunari
Isshiki Fujinaga
Itagaki Nobukata
Ito Hirobumi
Iwanari Tomomichi
Jinbo Nagamoto
Josui Yoshitaka
Judge Ooka
Kaneko Ietada
Katagiri Katsumoto
Kataoka Mitsumasa
Kato Kiyomasa
Kawakami Gensai
Kido Takayoshi
Kikkawa Hiroie
Kimotsuki Kanetsugu
Kobayakawa Hideaki
Kobayakawa Hidekane
Kobayakawa Takakage
Kojima Toyoharu
Kumagai Naozane
Kuroda Kanbei
Kuroda Kiyotaka
Kusunoki Masashige
Kuwana Tarozaemon
Maeda Keiji
Maeda Nagatane
Maeda Toshiie
Maeda Toshinaga
Maeda Toshitsune
Magome Kageyu
Manabe Akifusa
Matsudaira Higo
Matsudaira Motoyasu
Matsudaira Nobutsuna
Matsudaira Nobuyasu
Matsudaira Sadanobu
Matsudaira Tadayoshi
Matsudaira Teru
Matsunaga Hisahide
Matsunaga Hisamichi
Matsuo Bashō
Minamoto no Mitsunaka
Minamoto no Noriyori
Minamoto no Tameyoshi
Minamoto no Yorimasa
Minamoto no Yorimitsu
Minamoto no Yoritomo
Minamoto no Yoshiie
Minamoto no Yoshimitsu
Minamoto no Yoshinaka
Minamoto no Yoshitomo
Minamoto no Yoshitsune
Minoro Takashi
Miura Anjin
Miura Yoshimoto
Miyamoto Musashi
Miyoshi Chokei
Miyoshi Kazuhide
Miyoshi Masaga
Miyoshi Masayasu
Miyoshi Moriyata
Miyoshi Nagayuki
Miyoshi Yoshitsugu
Mizuno Tadakuni
Moniwa Yoshinao
Mori Motonari
Mori Nagasada
Mori Nagayoshi
Mori Okimoto
Mori Ranmaru
Mori Tadamasa
Mori Takamoto
Mori Terumoto
Mori Yoshinari
Murai Sadakatsu
Nagakura Shinpachi
Nagao Harukage
Nagao Kagenobu
Nagao Masakage
Nagao Tamekage
Nakagawa Kiyohide
Nakaoka Shintarō
Naoe Kagetsuna
Naoe Kanetsugu
Naoe Kanetsugu
Nihonmatsu Yoshitsugu
Niimi Nishiki
Niiro Tadamoto
Niwa Nagahide
Niwa Nagashige
Oda Hiroyoshi
Oda Nobuhide
Oda Nobukata
Oda Nobukatsu
Oda Nobukiyo
Oda Nobunaga
Oda Nobutada
Oda Nobutomo
Oda Nobuyasu
Ogasawara Shosai
Oishi Kuranosuke
Okada Izō
Okita Soji
Okubo Toshimichi
Okunomiya Masaie
Omy Yoshika
Ōta Dōkan
Ōtomo Sōrin
Ōuchi Yoshitaka
Reizei Takatoyo
Rokkaku Sadayori
Rokkaku Yoshiharu
Rokkaku Yoshitaka
Rusu Masakage
Ryuzoji Takanobu
Sagara Taketo
Saigo Kiyokazu
Saigō Masako
Saigō Takamori
Saigo Yoshikatsu
Saitō Dōsan
Saito Hajime
Saito Musashibo Benkei
Saito Yoshitatsu
Sakai Tadakiyo
Sakai Tadashige
Sakai Tadayo
Sakamoto Ryōma
Sakuma Morimasa
Sakuma Nobumori
Sanada Masayuki
Sanada Nobuyuki
Sanada Yukimura
Sasaki Kojiro
Sassa Narimasa
Serizawa Kamo
Shibata Katsuie
Shimada Ichiro
Shima Sakon
Shimazu Katsuhisa
Shimazu Tadahisa
Shimazu Tadatsune
Shimazu Tadayoshi
Shimazu Takahisa
Shimazu Yoshihiro
Shimazu Yoshihisa
Shindou Hiroshii
Sogo Nagayasu
Sue Yoshitaka
Tachibana Dosetsu
Tachibana Ginchiyo
Tachibana Muneshige
Taigen Sessai
Taira Kiyomori
Taira Masakado
Takahashi Shigetane
Takasugi Shinsaku
Takayama Justo
Takayama Ukon
Takechi Hanpeita
Takeda Katsuyori
Takeda Nobukatsu
Takeda Nobushige
Takeda Shingen
Takenaka Shigeharu
Tani Tadasumi
Toki Yorinari
Tokugawa Hidetada
